Tag1,Tag2,Num_Occurrence
ev3,lego-games,1
history,rcx,1
customization,motor,1
building,motors,2
compatibility,wedo,1
cleaning,piece-information,1
ev3,robotic,7
manufacturing,minifigures,4
clone-brands,minifigures,5
collectable-minifigures,plastics,1
nxt,rcx,4
microfigure,minifigures,1
manufacturing,plastics,6
lighting,remote-control,1
moc,set-modification,1
mindstorms,rcx,18
ev3,fll,3
discontinued,technic,2
city,compatibility,2
afol,vintage,1
ev3,python,3
3rd-party,compatibility,5
lejos,mindstorms,2
bricklink,pick-a-brick,3
9v,trains,7
disassembly,mindstorms,1
part-database,part-identification,1
repair,trains,1
durability,minifigures,1
boost,motor,1
boost,software,1
ideas,lego-group,1
moc,shopping,2
customization,star-wars,2
lego-group,minifigure-identification,1
power-functions,sets,3
education,sets,1
history,manufacturing,4
programming,sensor-ultrasonic,3
replacement-parts,stickers,2
history,vintage,4
mindstorms,nxt-g,7
robotic,wheel,1
accessories,minifigures,2
mindstorms,nxt,127
accessories,power-functions,1
creator,motors,1
bluetooth,pc,1
bionicle,instructions,1
piece-information,set-identification,7
annual-support,colour,1
customization,piece-information,1
moc,modular-buildings,1
duplo,sets,1
city,shopping,2
lego-group,minifigures,4
battery,electronics,3
lego-group,part-identification,1
sets,shopping,15
bridge,vintage,1
accessories,ebay,1
motors,sensor-ultrasonic,1
minifigures,terminology,1
colour,nxt,1
set-identification,vehicle,4
duplo,piece-usage,1
education,ev3,12
ev3,sensor,5
ev3-g,nxt-g,3
ev3,gears,1
battery,repair,1
mindstorms,wi-fi,1
discontinued,pick-a-brick,1
model-identification,vehicle,1
compatibility,piece-usage,1
design,steering,1
nxt,pathfinding,2
discontinued,shopping,2
ldd,minifigures,1
boost,wedo,2
compatibility,rcx,2
colour,piece-information,8
connections,technic,2
education,software,8
building,minifigures,6
investment,sets,1
3rd-party,glue,1
heroica,lego-games,3
battery,mindstorms,1
instructions,storage,1
mindstorms,shopping,4
storage,technic,2
boost,power-functions,2
building,history,1
instructions,set-modification,1
manufacturing,technic,1
repair,star-wars,1
sets,technic,5
building,mindstorms,5
friends,set-identification,4
ev3dev,programming,1
bricklink,clone-brands,1
disassembly,piece-usage,1
ev3,motor,8
angles,castle,1
compatibility,moc,1
advanced-models,set-identification,1
duplo,safety,2
3rd-party,lego-group,1
building,gears,9
electronics,powered-up,1
durability,replacement-parts,1
city,technic,1
gears,ldd,3
electronics,remote-control,2
building,part-identification,2
electronics,mindstorms,1
durability,plastics,2
design,motors,2
customization,size,2
ev3,piece-information,3
colour,design,1
cad,power-functions,1
customization,minifigure-identification,1
discontinued,tracks,1
lego-store,legoland,1
building,tools,2
motor,vintage,1
ideas,replacement-parts,1
ev3-g,mindstorms,17
set-identification,vintage,3
disassembly,star-wars,2
disassembly,repair,2
bricks-and-pieces,design,2
trains,vintage,4
building,lego-games,2
collectable-minifigures,minifigures,5
creator,power-functions,1
bridge,trains,3
repair,vintage,1
design,vehicle,1
battery,power-functions,4
durability,storage,1
nxt,nxt-g,12
battery,motor,2
duplo,juniors,1
fll,part-identification,1
racers,star-wars,1
minifigures,records,1
discontinued,sets,3
ldraw,mac,1
boat,size,1
scale,sets,1
mechanical,string,1
advent-calendar,star-wars,7
building,transport,2
instructions,star-wars,2
space,technic,1
